Day  ;  Animal Count  ;  Plant Count  ;  Empty Cells  ;  Most Common Genotype  ;  Average Energy  ;  Average Life Length  ;  Average Children Count
55  ;  91  ;  17  ;  134  ;  None  ;  68  ;  21  ;  2

Details of Animals:

Animal Status  ;  Position  ;  Energy  ;  Children Count  ;  Life Length  ;  Genotype
Alive  ;  (8,4)  ;  30  ;  0  ;  10  ;  [0, 5, 7, 1, 4, 2, 2, 3]
Alive  ;  (14,5)  ;  11  ;  0  ;  9  ;  [2, 2, 6, 4, 1, 7, 2, 5]
Alive  ;  (12,1)  ;  11  ;  0  ;  9  ;  [0, 6, 3, 4, 3, 1, 1, 3]
Alive  ;  (9,10)  ;  11  ;  0  ;  9  ;  [5, 7, 0, 6, 3, 0, 4, 2]
Alive  ;  (11,4)  ;  11  ;  0  ;  9  ;  [5, 6, 6, 7, 3, 5, 5, 6]
Alive  ;  (11,10)  ;  51  ;  0  ;  9  ;  [3, 2, 3, 4, 2, 4, 3, 4]
Alive  ;  (10,4)  ;  12  ;  0  ;  8  ;  [7, 0, 1, 3, 3, 2, 5, 1]
Alive  ;  (10,7)  ;  12  ;  0  ;  8  ;  [0, 2, 4, 7, 2, 5, 5, 4]
Alive  ;  (10,7)  ;  112  ;  0  ;  8  ;  [6, 5, 4, 0, 5, 7, 4, 6]
Alive  ;  (10,13)  ;  12  ;  0  ;  8  ;  [1, 3, 1, 1, 1, 2, 3, 7]
Alive  ;  (0,7)  ;  32  ;  0  ;  8  ;  [1, 5, 6, 1, 7, 0, 5, 0]
Alive  ;  (7,12)  ;  73  ;  0  ;  7  ;  [5, 0, 7, 1, 4, 4, 3, 4]
Alive  ;  (8,0)  ;  33  ;  0  ;  7  ;  [7, 6, 3, 1, 1, 5, 2, 7]
Alive  ;  (9,9)  ;  13  ;  0  ;  7  ;  [3, 7, 1, 1, 3, 6, 5, 2]
Alive  ;  (14,13)  ;  13  ;  0  ;  7  ;  [0, 4, 5, 6, 0, 0, 6, 7]
Alive  ;  (12,11)  ;  13  ;  0  ;  7  ;  [1, 0, 4, 7, 2, 4, 1, 4]
Alive  ;  (1,1)  ;  13  ;  0  ;  7  ;  [5, 0, 2, 3, 3, 7, 7, 0]
Alive  ;  (3,0)  ;  94  ;  0  ;  6  ;  [5, 1, 4, 2, 2, 0, 5, 6]
Alive  ;  (14,6)  ;  34  ;  0  ;  6  ;  [5, 1, 3, 1, 6, 2, 2, 4]
Alive  ;  (12,11)  ;  14  ;  0  ;  6  ;  [0, 0, 7, 5, 2, 3, 0, 1]
Alive  ;  (2,6)  ;  94  ;  0  ;  6  ;  [3, 2, 5, 1, 5, 3, 5, 4]
Alive  ;  (13,8)  ;  14  ;  0  ;  6  ;  [4, 7, 3, 2, 3, 3, 4, 0]
Alive  ;  (8,7)  ;  75  ;  0  ;  5  ;  [5, 3, 6, 0, 6, 6, 3, 2]
Alive  ;  (3,7)  ;  35  ;  0  ;  5  ;  [7, 7, 1, 0, 2, 6, 3, 2]
Alive  ;  (13,3)  ;  16  ;  0  ;  4  ;  [1, 5, 5, 2, 4, 0, 7, 0]
Alive  ;  (11,3)  ;  16  ;  0  ;  4  ;  [4, 2, 6, 5, 0, 7, 5, 1]
Alive  ;  (11,10)  ;  56  ;  0  ;  4  ;  [2, 7, 1, 3, 4, 2, 7, 6]
Alive  ;  (10,8)  ;  76  ;  0  ;  4  ;  [0, 6, 1, 5, 4, 2, 4, 3]
Alive  ;  (12,6)  ;  17  ;  0  ;  3  ;  [3, 3, 0, 7, 1, 2, 3, 5]
Alive  ;  (0,9)  ;  77  ;  0  ;  3  ;  [1, 7, 4, 5, 7, 1, 2, 0]
Alive  ;  (9,2)  ;  37  ;  0  ;  3  ;  [0, 4, 1, 3, 4, 4, 7, 7]
Alive  ;  (11,5)  ;  18  ;  0  ;  2  ;  [2, 5, 3, 3, 4, 1, 5, 4]
Alive  ;  (9,2)  ;  18  ;  0  ;  2  ;  [2, 6, 1, 7, 4, 6, 1, 3]
Alive  ;  (12,6)  ;  38  ;  0  ;  2  ;  [1, 5, 1, 6, 0, 5, 4, 2]
Alive  ;  (1,6)  ;  38  ;  0  ;  2  ;  [7, 2, 2, 1, 1, 2, 2, 4]
Alive  ;  (14,9)  ;  18  ;  0  ;  2  ;  [0, 7, 3, 0, 7, 1, 3, 3]
Alive  ;  (9,10)  ;  19  ;  0  ;  1  ;  [5, 7, 5, 4, 5, 0, 2, 1]
Alive  ;  (12,10)  ;  19  ;  0  ;  1  ;  [4, 3, 7, 4, 3, 4, 1, 3]
Alive  ;  (13,6)  ;  39  ;  0  ;  1  ;  [7, 7, 4, 0, 0, 7, 2, 2]
Alive  ;  (13,7)  ;  19  ;  0  ;  1  ;  [5, 4, 3, 4, 5, 0, 3, 6]
Alive  ;  (13,11)  ;  39  ;  0  ;  1  ;  [2, 0, 7, 2, 5, 7, 0, 6]
Alive  ;  (11,10)  ;  40  ;  0  ;  0  ;  [0, 3, 5, 3, 2, 2, 3, 0]
Alive  ;  (7,12)  ;  40  ;  0  ;  0  ;  [0, 5, 5, 2, 3, 0, 0, 7]
Alive  ;  (12,10)  ;  40  ;  0  ;  0  ;  [6, 6, 6, 1, 1, 1, 0, 5]
Alive  ;  (12,11)  ;  40  ;  0  ;  0  ;  [1, 1, 3, 1, 5, 4, 7, 5]
Alive  ;  (9,2)  ;  40  ;  0  ;  0  ;  [1, 2, 3, 1, 3, 5, 0, 0]
Alive  ;  (13,7)  ;  40  ;  0  ;  0  ;  [4, 5, 5, 1, 6, 7, 0, 0]
Alive  ;  (9,10)  ;  40  ;  0  ;  0  ;  [5, 2, 5, 5, 1, 5, 4, 1]
Alive  ;  (1,9)  ;  40  ;  0  ;  0  ;  [0, 0, 0, 6, 0, 5, 6, 5]
